book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
1718,189,1,7774,247,7,1,2005,191,1
2731,270,1,3970,576,7,21,2016,57,3
2581,228,2,15193,698,7,23,2016,183,7
2151,191,9,12439,502,5,23,2016,85,3
617,190,3,27943,278,7,8,2016,97,5
131,353,8,1528,216,2,18,2013,40,3
2939,388,7,24059,187,6,50,2008,178,4
1379,318,8,4043,146,9,6,2006,104,5
2218,336,9,18903,158,3,14,2006,15,5
1030,28,7,2701,364,5,8,2006,147,4
532,62,9,18293,135,1,19,2019,178,7
64,57,8,9113,266,2,27,2019,181,6
2950,71,4,29800,589,10,9,2002,113,3
1223,49,7,28293,132,4,39,2013,149,6
309,353,7,1217,187,9,14,2015,133,6
1273,438,3,23578,240,8,29,2020,118,3
2855,297,4,23526,297,9,13,2014,194,5
2414,334,8,27511,111,2,11,2021,11,3
1803,94,10,29660,283,2,6,2000,113,5
2169,447,7,21272,162,4,5,2015,150,7
658,135,10,3820,156,3,35,2018,103,5
576,187,8,29997,571,4,30,2013,95,6
1886,436,8,14779,584,7,46,2004,190,7
106,232,6,953,413,2,14,2003,108,1
1429,145,8,583,403,10,49,2015,198,1
1921,388,5,15628,465,8,41,2021,112,6
310,208,1,14967,466,9,24,2019,114,1
640,432,4,18353,384,5,8,2019,32,1
1995,308,3,17999,502,1,42,2020,61,2
2291,76,10,14906,159,6,33,2019,112,2
2926,367,8,17208,378,9,20,2000,43,7
2929,215,6,25856,101,1,7,2000,149,2
2246,408,2,24350,605,10,25,2010,11,5
911,212,4,14364,651,5,38,2018,158,5
551,75,8,3117,172,2,2,2013,43,2
246,7,7,12013,304,1,5,2011,160,1
847,311,3,25286,549,8,15,2004,55,5
2493,448,5,538,506,8,43,2014,44,1
2301,311,5,27105,467,7,9,2019,114,4
2906,428,8,2444,290,2,25,2010,126,7
1278,217,9,15633,657,4,33,2008,180,6
2126,199,2,29285,288,4,33,2009,186,3
2186,252,10,25681,601,7,9,2021,48,2
1147,33,3,27311,335,3,4,2005,79,5
2946,291,2,25339,171,9,16,2019,16,7
1406,401,7,23334,349,10,31,2013,103,7
763,231,3,2312,697,7,23,2015,81,5
402,309,7,17969,545,5,47,2020,135,4
2734,125,3,10167,268,7,42,2005,198,7
777,447,8,24624,463,6,25,2018,97,5
715,188,10,4129,123,3,9,2015,3,1
2467,268,10,25023,77,1,46,2002,195,4
168,78,7,19833,668,10,7,2007,119,2
2824,87,2,10822,399,2,1,2015,48,1
1716,383,4,14489,91,7,45,2015,63,4
1955,383,2,5493,280,1,23,2010,173,6
580,39,8,7325,396,10,22,2019,57,7
1947,27,5,10486,609,1,12,2021,61,1
1473,100,6,21286,613,5,20,2014,96,5
1065,142,3,22712,338,6,13,2014,43,4
2744,385,5,24510,235,7,42,2006,100,7
1568,406,2,23039,527,3,46,2005,101,2
2036,132,6,12495,214,6,10,2021,171,6
436,85,1,23519,183,9,14,2020,31,7
1781,289,7,23555,417,6,11,2000,8,5
234,278,3,18610,514,10,33,2021,153,1
1329,236,8,18878,321,10,38,2019,5,4
1130,305,7,11229,477,9,18,2017,81,4
1927,7,1,19448,598,2,50,2019,178,4
2400,434,4,26832,414,5,22,2012,24,6
2559,55,5,28825,281,4,11,2019,95,7
1288,272,4,29809,275,1,46,2016,73,7
1835,383,4,24620,521,9,22,2009,36,3
772,154,4,24011,487,9,40,2005,94,3
28,360,6,9626,241,7,12,2012,127,5
971,147,4,25342,190,5,8,2010,31,2
1498,92,7,15512,247,1,8,2016,98,2
679,266,9,23697,541,4,46,2010,66,7
118,179,8,26895,371,7,9,2012,88,1
595,419,2,18587,642,1,25,2009,157,3
802,341,6,9705,79,8,41,2020,189,6
2557,344,1,15717,326,5,30,2020,60,3
963,5,7,20068,421,3,19,2016,38,6
2388,424,7,903,206,9,6,2010,159,7
581,369,4,26334,207,5,30,2006,108,7
1277,32,8,2288,654,6,23,2005,20,3
1634,183,2,21976,629,4,3,2010,104,3
1272,347,9,6458,517,3,50,2014,32,3
1178,34,3,26054,373,8,14,2004,62,7
2267,131,9,1521,253,2,28,2010,77,4
2358,102,6,20079,197,9,13,2009,140,3
2764,53,6,24277,108,9,46,2004,52,6
909,418,1,1245,372,4,24,2004,84,3
1488,406,8,17526,584,8,14,2010,18,2
2485,69,1,1359,435,5,46,2002,196,1
151,291,7,18273,590,9,48,2015,146,1
187,36,2,17012,210,3,11,2001,200,1
2593,162,4,29159,593,10,39,2003,144,6
36,198,4,22371,145,2,15,2003,148,3
902,256,1,205,204,5,46,2012,71,4
2448,277,9,15638,81,10,30,2015,135,6
2676,160,2,18390,553,9,16,2012,155,4
216,279,9,22587,298,10,20,2004,93,4
1349,138,9,5495,257,7,20,2003,77,4
1589,87,6,200,102,2,23,2016,144,7
270,182,3,17490,337,3,32,2021,28,2
959,325,4,723,609,8,7,2018,187,1
1076,448,6,20831,629,10,7,2020,134,1
1621,325,10,26563,590,1,32,2007,169,7
2251,31,7,24970,523,9,12,2000,50,6
2912,23,7,27277,686,6,12,2006,5,4
2575,302,2,8553,601,6,36,2005,154,4
2684,215,7,28666,395,9,35,2020,163,3
1851,247,4,3297,204,7,43,2014,40,6
2648,46,5,14903,371,7,33,2006,37,3
2627,354,7,21771,559,9,3,2017,97,2
1163,78,2,22983,166,6,33,2005,40,7
910,288,6,15219,560,6,14,2002,22,1
2658,356,8,1052,198,9,14,2006,152,4
2240,28,1,3923,176,1,12,2013,183,6
2001,232,5,14907,565,7,35,2009,65,3
1768,117,3,23927,240,4,4,2006,68,4
2182,115,7,2977,455,2,4,2010,73,3
1428,289,5,29708,679,8,2,2003,71,4
480,105,7,26064,341,4,18,2007,172,7
299,387,10,24718,243,2,28,2016,178,2
2185,220,7,20736,287,2,41,2001,133,4
941,119,10,16101,379,8,34,2001,69,5
198,429,4,2379,334,3,47,2002,54,3
169,239,7,8829,167,4,2,2015,155,4
2944,313,1,29561,530,1,4,2002,65,1
533,296,7,236,580,3,9,2008,136,5
1639,124,8,25265,555,10,5,2013,115,2
1312,326,6,10927,337,10,34,2004,81,6
1195,318,1,23767,137,1,6,2017,100,4
2394,343,3,17635,544,6,43,2003,58,7
600,203,7,20204,223,2,24,2010,146,5
2657,201,9,14492,681,2,29,2001,78,3
1814,356,7,23498,608,7,39,2006,46,2
1410,323,5,23473,683,7,38,2015,198,3
1845,9,9,16822,613,7,33,2005,126,5
957,440,10,7063,476,3,16,2006,112,7
2356,122,1,2736,300,1,40,2011,167,5
134,154,3,21396,125,9,13,2011,180,5
1720,117,6,25786,643,3,15,2016,178,7
2105,274,4,17643,527,3,41,2006,133,1
2662,40,10,7696,695,7,29,2008,77,3
1377,224,4,27677,601,9,34,2011,73,3
2380,101,7,16001,596,4,17,2006,11,4
2585,356,10,18869,268,3,5,2020,73,4
826,255,3,6362,95,7,23,2007,143,4
1805,389,9,20641,307,2,27,2009,115,5
2787,54,1,20138,345,5,31,2021,109,7
2848,310,4,9012,670,1,2,2001,22,3
1445,429,5,782,673,2,11,2010,83,4
1980,248,2,15257,606,7,50,2008,182,5
404,72,8,28855,116,8,38,2019,30,1
1224,447,4,9319,212,10,4,2020,25,2
900,245,5,4304,331,10,27,2015,91,2
1851,242,4,17559,369,8,19,2015,40,5
2052,235,10,19917,555,6,40,2015,103,7
2458,111,2,5945,210,1,17,2020,173,1
1649,170,10,27831,383,6,28,2015,138,6
1703,145,1,21526,244,1,48,2020,57,7
2688,256,10,504,284,4,23,2001,169,1
1239,30,6,21454,141,4,18,2009,20,6
172,276,5,24055,121,10,9,2016,174,1
363,365,9,28227,94,4,9,2014,114,3
435,335,5,123,234,3,18,2009,43,7
616,264,10,2780,210,4,39,2001,153,2
122,409,10,13133,207,5,33,2011,147,4
1968,205,6,18388,516,9,21,2006,155,6
1167,345,7,29339,539,9,44,2008,90,3
2102,305,4,15355,413,9,34,2003,60,1
2974,422,3,28226,515,3,30,2007,5,7
2583,247,1,29874,578,10,19,2007,186,2
2070,428,5,25300,306,10,34,2007,44,1
49,126,1,11970,533,9,33,2010,6,4
706,124,1,7040,461,2,33,2018,142,6
310,81,9,17364,594,2,47,2008,166,5
2249,300,3,20970,144,2,37,2004,190,7
726,163,7,2318,636,10,7,2016,63,3
80,159,1,23633,549,5,6,2018,119,2
1634,392,7,29122,220,9,22,2017,165,5
2647,308,3,11438,532,6,24,2003,152,5
2383,221,5,23334,628,9,14,2021,98,1
1740,169,8,19194,648,2,8,2016,183,1
422,174,3,2873,350,10,50,2007,18,1
872,209,4,17149,581,1,39,2011,86,7
1142,290,4,29205,236,3,11,2004,17,2
2446,366,8,5921,249,3,40,2021,159,2
1171,13,5,15717,695,4,42,2016,127,1
2413,24,9,14705,566,3,35,2003,180,3
1395,65,8,1435,168,3,50,2006,167,5
2729,259,5,22984,245,3,44,2004,100,5
2940,50,4,19289,626,7,20,2014,123,2
151,428,1,17911,184,9,18,2021,43,2
1382,293,8,15587,230,1,19,2007,29,3
1232,290,6,2191,423,2,36,2015,24,7
2934,78,6,7199,215,5,50,2012,193,6
1297,413,9,19515,399,3,24,2009,78,1
668,243,5,20129,293,1,43,2002,119,4
1605,99,3,17859,633,1,30,2006,21,6
2331,216,6,16932,490,4,50,2011,94,4
208,248,4,25294,404,3,47,2012,118,4
372,133,10,21131,473,8,3,2002,165,2
2786,47,6,26202,457,3,48,2014,120,6
1396,288,6,11637,649,6,6,2006,82,5
2091,405,7,28420,197,8,8,2003,182,5
2907,118,3,15991,92,8,26,2020,51,7
2648,284,5,7093,311,1,27,2009,157,1
1500,268,3,2436,649,1,4,2001,112,3
1724,304,4,170,106,8,20,2001,64,3
1532,288,4,3791,255,6,32,2005,130,5
1074,66,10,8492,428,9,5,2003,22,1
1615,212,7,16592,425,1,20,2016,18,1
1193,195,2,26069,152,1,49,2013,102,4
610,96,3,1385,213,6,49,2002,104,5
483,262,4,10724,451,10,26,2019,46,1
2332,248,7,29192,359,10,34,2001,151,7
1151,426,8,3196,367,3,2,2004,128,2
1414,121,8,6806,548,9,6,2017,172,6
1343,247,2,11834,283,5,46,2006,60,3
774,13,6,6076,446,9,31,2021,60,6
1213,218,2,14512,197,7,30,2019,89,2
2492,271,4,20228,621,9,28,2005,9,7
1009,178,6,10810,655,4,2,2010,16,1
1157,81,9,22315,656,3,15,2017,152,4
544,367,1,11163,490,3,21,2002,23,5
1567,74,3,11823,633,1,6,2006,188,1
1748,402,6,26774,311,3,14,2017,106,4
2599,176,10,11820,693,2,14,2006,148,6
1879,299,5,26095,435,6,46,2006,93,6
2683,362,6,15022,323,4,14,2014,105,1
1168,311,9,1238,622,1,1,2019,136,4
1865,30,9,7604,556,7,16,2005,187,6
2592,439,2,24060,419,2,39,2009,154,1
565,47,6,26631,399,9,39,2019,189,3
2234,378,5,13148,697,5,6,2013,153,7
848,339,3,26200,492,4,49,2018,76,3
2476,392,5,19521,81,6,26,2012,160,6
494,105,8,27093,673,8,8,2006,117,6
1302,251,4,28652,349,4,21,2018,109,1
1706,352,7,19092,84,1,18,2018,147,5
583,330,2,19589,264,9,33,2004,127,6
2065,102,6,16673,447,2,17,2021,132,4
819,366,1,6858,611,10,2,2016,60,7
282,64,2,23601,391,3,47,2019,42,6
2765,352,1,16558,311,10,26,2009,127,6
1878,45,10,4452,598,5,21,2007,59,7
2819,15,4,1614,318,8,2,2013,172,5
511,279,2,19287,501,6,44,2006,68,7
1652,152,4,29797,399,9,9,2007,131,2
221,78,4,25467,603,5,17,2019,10,4
1125,221,10,25328,534,3,15,2010,185,3
1374,239,1,13239,580,8,3,2017,31,5
445,370,8,27374,487,9,22,2008,90,7
1678,375,3,7789,622,6,21,2013,31,4
483,162,9,24442,527,6,47,2018,56,5
739,227,1,3547,393,3,29,2020,114,7
1328,61,5,23066,649,6,8,2021,15,3
2659,104,8,28206,596,9,14,2014,107,4
900,79,5,9030,410,8,26,2019,157,6
2072,137,6,18814,611,1,30,2016,199,7
1996,198,4,18643,575,7,17,2004,56,4
945,420,9,22524,235,8,19,2018,10,7
1292,111,7,5490,641,2,20,2014,199,7
1933,362,4,6972,298,9,3,2008,110,1
1236,263,3,28857,592,10,43,2021,151,6
2180,62,7,27454,77,2,10,2020,1,5
386,201,10,7809,85,10,17,2002,19,3
2279,49,5,14904,373,4,45,2007,5,7
368,69,4,13717,86,7,10,2019,125,7
738,396,9,25569,377,10,37,2019,130,4
1491,277,10,126,209,3,39,2014,187,4
2988,75,7,2485,91,4,26,2011,164,1
1974,337,9,27746,281,7,7,2000,2,6
1483,240,1,26515,555,1,18,2016,38,7
2402,151,3,13035,87,8,41,2007,148,6
2919,10,2,5278,695,9,16,2007,62,5
1577,393,10,28410,272,8,26,2011,174,1
636,41,10,2658,308,6,18,2014,123,2
2603,54,5,18862,349,6,35,2019,154,3
1107,41,8,28015,528,3,26,2012,105,1
1082,59,1,17374,204,2,46,2020,47,2
1514,422,10,23182,469,1,5,2011,55,3
606,99,7,27526,604,4,43,2021,137,6
1281,345,7,24801,382,2,24,2019,62,3
2328,231,8,558,343,3,34,2017,38,4
2814,284,6,19710,108,7,38,2015,75,5
2836,404,7,12035,618,5,8,2008,109,5
633,407,4,3020,689,5,15,2001,77,6
2235,442,8,26347,399,1,48,2002,39,7
1590,21,6,13250,618,6,29,2009,197,3
1757,399,9,8137,361,7,12,2020,64,5
2249,171,6,15476,78,5,8,2011,60,5
1848,376,2,4727,670,7,4,2019,180,2
1484,391,5,16678,135,4,29,2008,115,5
34,316,6,6056,216,7,40,2011,124,6
1220,230,2,10698,459,10,35,2003,170,5
345,121,5,20426,576,10,11,2021,187,5
1804,324,2,28009,595,4,28,2014,197,2
2818,367,7,10573,85,1,44,2011,123,5
2308,401,6,28528,291,2,21,2007,50,3
2344,446,8,17820,240,7,31,2008,77,6
934,315,10,13890,619,3,19,2012,195,1
475,152,9,24700,523,2,3,2002,148,6
504,198,4,21763,567,10,18,2007,133,5
134,206,6,28946,174,3,45,2002,113,6
2289,408,1,24938,275,2,7,2008,184,4
2170,249,1,22883,510,7,34,2004,105,1
1230,144,1,29835,113,7,20,2011,21,7
2131,72,3,9696,637,7,13,2004,188,3
826,131,9,14165,527,6,49,2002,40,5
2357,439,7,771,679,5,25,2009,116,5
1195,36,6,11428,631,9,21,2017,195,7
1311,309,10,20213,551,7,50,2010,44,1
2094,332,3,26726,143,9,1,2008,168,3
1188,207,7,15292,493,10,12,2021,49,5
720,143,3,24032,260,4,18,2009,41,4
1059,53,6,23012,90,5,20,2004,198,1
2857,55,6,20602,250,10,34,2006,66,3
1089,37,6,17923,123,4,25,2020,135,5
1035,119,8,364,514,8,47,2000,55,5
2705,348,4,9962,273,4,32,2013,22,5
2149,144,4,16349,580,5,37,2019,176,1
2052,364,5,15472,510,4,1,2006,147,7
68,147,2,7156,503,9,8,2016,49,5
937,80,5,4958,284,9,22,2020,133,1
2569,66,10,28693,77,8,4,2011,79,3
154,197,6,26652,509,9,46,2004,105,5
822,7,3,5112,632,4,16,2011,34,3
2462,430,2,29730,341,10,44,2012,40,4
654,6,6,2694,248,2,4,2007,158,4
64,243,9,1212,594,4,20,2011,133,7
54,159,2,17874,458,5,23,2014,34,5
865,268,10,20622,141,2,29,2005,115,3
2160,313,8,22105,424,6,21,2003,147,3
251,236,9,10551,136,9,42,2013,176,5
387,315,7,18834,389,10,12,2012,61,6
2847,223,6,625,677,9,13,2019,60,5
2176,193,9,21667,502,7,45,2019,153,4
2620,24,3,19924,258,6,11,2018,120,5
2437,372,9,24291,525,7,44,2013,42,3
684,240,9,18039,212,2,32,2015,191,4
1069,282,10,6032,623,9,27,2006,132,7
2784,289,9,14061,678,4,13,2018,4,7
927,46,7,26362,354,10,22,2017,162,2
363,289,7,17130,224,8,14,2016,138,1
2544,334,6,10906,448,2,31,2018,162,4
498,1,9,6132,604,3,1,2000,111,7
1855,409,2,10763,669,5,41,2005,48,4
2568,308,10,21519,679,1,31,2012,47,3
598,445,5,12261,217,10,35,2019,21,6
2621,357,2,4771,87,9,16,2007,72,4
2888,242,8,14085,562,5,43,2019,147,4
34,127,2,11965,153,4,43,2002,74,4
644,438,9,22231,563,2,26,2006,93,2
1893,364,10,27102,565,8,48,2014,45,4
2467,318,9,2693,477,4,30,2008,107,4
413,426,2,943,285,7,25,2020,123,2
2376,220,5,794,654,5,2,2019,118,4
503,5,4,22511,585,7,13,2011,15,4
2213,346,3,23615,302,10,32,2019,73,1
1669,45,10,2193,671,6,36,2012,73,6
190,332,5,5052,405,6,15,2009,49,4
1825,146,7,13381,346,2,15,2018,53,6
2887,382,7,21372,489,7,7,2017,147,1
1267,251,1,6615,100,10,38,2007,128,7
2861,327,5,5082,646,5,48,2000,13,5
272,66,7,5712,653,6,42,2003,26,4
800,102,8,11715,374,4,8,2006,132,7
1971,223,6,1870,276,4,11,2009,119,4
2540,348,3,27932,639,4,8,2002,8,1
1447,292,6,16469,198,6,5,2000,109,3
1425,249,3,3619,98,4,35,2014,65,1
2339,332,6,5235,484,9,40,2007,10,4
1304,287,1,15284,215,5,47,2019,149,1
1820,29,9,4389,116,6,49,2008,161,6
2049,435,7,7624,629,4,48,2003,127,6
1431,190,10,9305,431,7,16,2002,147,7
2426,239,1,29364,425,8,49,2007,82,7
2525,160,6,24114,493,3,21,2019,128,3
2476,417,3,13346,119,10,24,2018,74,2
482,240,9,21445,455,4,38,2002,6,4
1415,26,6,10997,181,4,25,2019,140,3
959,248,7,9956,494,2,21,2001,42,1
806,21,7,3184,179,10,22,2004,184,5
1901,234,2,11660,417,7,19,2014,155,5
1192,205,8,20217,647,3,16,2017,168,5
2694,376,5,11020,605,7,15,2005,72,6
149,359,10,17167,553,7,43,2014,8,7
2333,180,4,7470,491,2,3,2011,59,3
1779,212,2,22639,636,4,13,2002,165,7
682,96,9,16477,416,9,15,2002,159,7
2343,426,5,6954,168,9,50,2000,87,3
1082,143,4,8267,530,7,30,2004,49,2
2478,71,1,21379,219,9,8,2003,44,7
2776,280,9,22224,98,7,50,2020,69,5
1983,13,7,9073,689,3,38,2001,159,6
1722,179,4,24100,258,4,1,2021,64,2
1986,160,9,2119,179,9,22,2015,130,6
1243,309,8,744,182,6,18,2005,162,1
1560,427,6,26901,303,9,34,2000,12,5
1869,255,10,14515,631,9,22,2020,18,6
2128,293,6,21251,656,1,39,2018,187,1
214,161,2,19275,665,4,50,2000,92,1
1568,339,3,19906,536,2,36,2016,151,1
2312,145,8,18157,386,8,47,2017,1,1
641,210,8,15493,367,8,36,2004,92,3
1980,3,8,10984,132,3,47,2011,160,4
2484,331,1,15512,213,4,30,2017,154,5
2821,121,5,27729,291,5,36,2005,4,4
1502,247,8,22206,227,9,39,2011,39,1
2580,235,2,23318,223,1,36,2019,131,1
599,348,1,28705,223,2,34,2012,91,7
2815,281,8,28219,465,2,41,2020,163,6
2966,299,5,16184,632,1,36,2004,73,4
2543,258,8,13102,395,2,47,2008,41,5
1693,82,9,4788,459,5,30,2005,98,7
1446,43,2,23449,168,8,22,2015,118,5
1289,361,2,1275,119,2,39,2012,41,3
1817,393,1,26330,549,7,41,2005,56,1
2140,291,3,2552,340,1,22,2006,104,5
2461,125,4,23063,631,6,40,2014,147,3
1946,350,1,21089,539,4,27,2020,172,7
2098,443,4,968,697,5,6,2013,16,5
385,355,8,21227,158,3,21,2003,12,7
1611,410,8,4010,148,1,39,2005,195,4
1667,206,1,26454,535,7,19,2010,161,7
2948,83,1,10628,242,1,33,2017,165,1
648,55,7,13521,78,1,14,2001,69,2
263,331,10,3307,129,9,15,2007,138,3
1026,37,2,6200,240,2,50,2006,91,6
401,287,8,12885,159,2,29,2007,18,6
301,232,4,11092,181,9,12,2002,69,1
2557,351,8,13715,649,3,8,2011,26,6
347,34,4,13175,231,3,5,2019,191,2
145,27,8,8574,593,6,23,2013,190,3
2919,220,9,252,102,2,26,2009,110,4
1746,296,10,24133,441,9,48,2004,171,6
1499,158,9,642,532,2,30,2000,62,4
2916,142,5,1902,582,2,32,2012,93,2
1545,18,8,2273,651,10,30,2020,12,1
483,187,3,26688,232,10,43,2006,197,5
1489,31,7,22105,464,2,37,2021,45,7
212,5,7,24817,522,1,37,2011,15,7
499,442,6,15537,307,9,5,2012,190,6
1409,380,2,6763,419,7,18,2005,111,5
57,232,6,20511,183,2,34,2021,133,5
2397,242,6,22708,214,10,25,2017,31,6
2177,134,7,16562,651,1,41,2019,82,1
2531,157,1,11268,603,8,40,2012,59,4
570,40,7,5403,437,4,25,2019,90,6
4,107,2,493,193,7,2,2001,70,4
662,379,6,3964,692,9,27,2005,101,5
2864,291,9,22188,108,6,3,2015,37,3
2383,236,9,26858,248,5,14,2013,89,6
1432,120,8,672,157,5,39,2014,184,2
873,132,9,17857,676,6,7,2000,135,4
663,325,9,14725,656,1,5,2008,20,5
2383,328,9,12300,480,7,8,2010,1,7
1633,440,6,2242,682,8,22,2006,74,3
2053,331,6,4544,602,2,28,2014,31,6
283,286,10,14171,650,5,28,2012,55,6
2374,3,8,20871,625,8,50,2011,121,3
1588,187,3,12114,327,6,32,2011,158,2
2035,391,2,25604,198,4,42,2005,98,6
